# Residuals       
# Time            	p                 	Ux                	Uz                	k                 	omega             
208               	1.0431797063e-04	1.3338997494e-05	3.2988861903e-04	6.4488093253e-06	4.7978283166e-07
209               	1.0026676734e-04	1.3292729401e-05	3.2782450746e-04	6.4195235713e-06	4.7659000359e-07
210               	9.6058323288e-05	1.3243171302e-05	3.2553722119e-04	6.3905305789e-06	4.7346110595e-07
211               	9.3081186587e-05	1.3190428865e-05	3.2309736312e-04	6.3616646543e-06	4.7030431776e-07
212               	9.0524690088e-05	1.3137323204e-05	3.2083111990e-04	6.3338102946e-06	4.6705595370e-07
213               	8.7632073027e-05	1.3086179310e-05	3.1894901188e-04	6.3062585537e-06	4.6388110873e-07
214               	8.4661866664e-05	1.3037617648e-05	3.1730860997e-04	6.2795562981e-06	4.6080463986e-07
215               	8.1530822993e-05	1.2990669847e-05	3.1569113381e-04	6.2541343453e-06	4.5782224252e-07
216               	7.8629787719e-05	1.2943709172e-05	3.1395091359e-04	6.2310989525e-06	4.5489092856e-07
217               	7.6581663166e-05	1.2895491748e-05	3.1210346388e-04	6.2089916171e-06	4.5197324746e-07
218               	7.4567964682e-05	1.2846056309e-05	3.1019772173e-04	6.1867211771e-06	4.4911673137e-07
219               	7.2517333839e-05	1.2796263252e-05	3.0831763370e-04	6.1642613150e-06	4.4628438548e-07
220               	7.0418655235e-05	1.2747146971e-05	3.0652426982e-04	6.1416559045e-06	4.4349135922e-07
221               	6.8122118844e-05	1.2699236931e-05	3.0485700404e-04	6.1190224344e-06	4.4071188479e-07
222               	6.6095870730e-05	1.2652538059e-05	3.0325268359e-04	6.0964108108e-06	4.3795985674e-07
223               	6.4488814776e-05	1.2606415523e-05	3.0166263151e-04	6.0736519463e-06	4.3523534342e-07
224               	6.3015114990e-05	1.2560296517e-05	3.0003891808e-04	6.0507412209e-06	4.3253139123e-07
225               	6.1420414037e-05	1.2514084443e-05	2.9837482982e-04	6.0276755291e-06	4.2982747980e-07
226               	5.9855023399e-05	1.2468053920e-05	2.9674106580e-04	6.0044783239e-06	4.2713340851e-07
227               	5.8529716605e-05	1.2422458389e-05	2.9514376063e-04	5.9812745912e-06	4.2446896639e-07
228               	5.7141989177e-05	1.2377413647e-05	2.9358899825e-04	5.9582012245e-06	4.2186222978e-07
229               	5.5858466999e-05	1.2332912620e-05	2.9203315260e-04	5.9353568937e-06	4.1929805175e-07
230               	5.4675838468e-05	1.2274535477e-05	2.9110148815e-04	5.9120094970e-06	4.1678921494e-07
231               	5.3662549594e-05	1.2247332084e-05	2.8931109014e-04	5.8894321907e-06	4.1423593009e-07
232               	5.2722925002e-05	1.2193308342e-05	2.8769440200e-04	5.8666817865e-06	4.1178919705e-07
233               	5.1802312450e-05	1.2148407920e-05	2.8617550170e-04	5.8439093083e-06	4.0935731046e-07
